Model,Dataset,MSE,Center_Error_Mean,Center_Error_Std,Correlation
3D CNN,mixin_test44,0.008322539,106.84603510621034,14.82208735741931,0.6519627460746665
3D CNN,mixin_test57,0.0078130765,119.00054084456599,16.03178019528651,0.4855083744762995
3D CNN,mixin_test64,0.015806934,131.7299949764755,0.19975380270050858,0.6646775751843598
Flow-Based,mixin_test44,0.0065459865,111.87742319765957,18.820681186866,0.6395640927506716
Flow-Based,mixin_test57,0.0077709286,122.19650880201065,11.949698971133929,0.4848374704852378
Flow-Based,mixin_test64,0.018872619,128.79425075910842,2.8510646778863213,0.6251206010550611
ConvLSTM,mixin_test44,0.009924486,128.64398584904168,35.28183855646081,0.640341270694376
ConvLSTM,mixin_test57,0.007888378,123.09396459499558,8.865882790583484,0.46182163387708575
ConvLSTM,mixin_test64,0.011784414,130.944910487322,0.17234846817507218,0.7227558169130027
